แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
รักใดใด	ไหนจะเทียบ	รักโลกา	กว้างหูตา	พารู้สิ่ง	ดีมากมาย	"Whatever love can be the same as that of the world, it can broaden your horizon and good knowledge."
ยิ่งเอาใจ	ยิ่งทำให้	ลูกเสียคน	จึงไม่พ้น	เรื่องพ่อแม่	รังแกฉัน	Trying to please children can spoil them. This is like the case that parents molesting their own children.
"เค็ม,หวาน,มัน"	นั้นเป็นภัย	หลอกให้กิน	ยิ่งแดดิ้น	ถ้ายิ่งกิน	ภักษามาร	"Salty, sweet and fatty foods deceive people to eat them. A mental uneasiness happens more often from eating injurious victuals."
สัจธรรม	ในคำคม	สอนอะไร	เพื่อเตือนใจ	ใช้สติ	วิจารณญาณ	What does veracity of witty speeches teach? It can remind people to use sensibility and reflecting faculty.
ยามรุ่งโรจน์	เป็นความโปรด	ของใครใคร	ทุกข์ผ่านไป	ควรเตือนไว้	ไม่ลืมตัว	Glory is anyone's favorite thing. The past sufferings can remind us not to forget ourselves.
ฝากวัวไว้	ให้กับเสือ	ช่วยดูแล	ฝากเพชรแท้	กับแม่บ้าน	ชอบเล่นไพ่	It's dangerous to entrust a cow to a tiger and leave true diamonds with a housewife who likes to play cards.
นยิ่งขี้เหนียว	เดี๋ยวยิ่งไร้	ญาติและเพื่อน	ดูบ้านเรือน	เหมือนถ้ำมืด	ใครจะมา	Stingier ones will lack relatives and associates. Who would like to visit their dark houses similar to caves ?
พวกมั่งมี	ดีที่หา	มิตรได้ไว	พวกยากไร้	หาเท่าใด	ยิ่งไม่เจอ	Opulent ones can have friends easily. Destitute ones find it rare to have companions.
มายาหญิง	เป็นสิ่งเรียน	รู้ไม่ง่าย	หลายผู้ชาย	เรียนกลับพ่าย	เล่ห์มารยา	It's not easy to learn about women's pretence and many men learners are defeated by their trickery.
อเวไนย	ปราชญ์ท่านใด	สอนได้เล่า	อย่าสอนเต่า	ให้วิ่งได้	คล้ายตุ่นเลย	Which philosopher can instruct an unteachable? Don't teach a turtle to run like a mole.
ยามรู้ว่า	เราไม่รู้	เป็นครูได้	สื้อความหมาย	ได้เตือนให้	ใฝ่ศึกษา	Awareness of ignorance can be a teacher. It's meaningful to remind people to have an interest in education
พวกอกหัก	มักเขลามาก	ยากเยียวยา	เหมือนบอดตา	จึงไม่หา	สิ่งให้คุณ	"Heart-broken ones are often too foolish to be remedied. They are like the blind, so they can't seek merits."
ควรประหยัด	โดยวิธี	ที่สร้างสรรค์	จัดแบ่งปัน	ด้วยปัญญา	อย่าประมาท	Frugality should be through creativity. Be heedful to have apportionment by wisdom.
เที่ยววอนไหว้	ล้วนมุ่งหมาย	ได้สมอยาก	ตัณหามาก	หลากกิเลส	ยิ่งห่างธรรม	Pleading with sacred things is aimed to get desirable things. Lust and passion make people stay away from dharma.
ยามวิกฤต	ปิดหนทาง	อย่างอับจน	อาจส่งผล	คนพบทาง	สร้างประโยชน์	Any crisis can close the way like the end of one's wit but it may result in finding a way of making proceeds.
ความประมาท	เพียงน้อยนิด	จิตทุกข์ได้	และบางราย	วอดวายได้	เพราะสะเพร่า	Even small negligence causes mental unhappiness and some are ruined owing to their imprudence.
พวกเกียจคร้าน	ย่อมต้านทาน	ความสุขได้	ยากมุ่งหมาย	ได้พัฒนา	ความสามารถ	Slothful ones are likely to be against pleasure. It's very hard for them to aim at developing any competence.
ผลขี้เกียจ	เบียดเบียนตน	ให้ตกต่ำ	ดูผลกรรม	สูงหรือต่ำ	ก็เพราะตน	The issue of indolence makes oneself decline. Ones can see their own low or high consequences of deeds.
