แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
ศัลธรรม,ทำให้คน,ต่างจากสัตว์,ช่วยจำกัด,ความกำหนัด,โลภ โกรธ หลง
สมัยนี้,ควรมุ่งที่,เจริญปัญญา,เพื่อเสาะหา,ปัญญาเลิศ,กูโลกเรา
เห็นแก่ตัว,คือมารชั่ว,ยึดโลกา,พวกพนา,แหล่งคงคา,วอดเพราะใคร
ตกเป็นทาส,ปรุงแต่งใจ,ไม่สั้นสุด,จึงไม่หยุด,จินตนา,พาเพ้อฝัน
ถ่ายทำหนัง,ยังรุกล้ำ,ธรรมชาติ,ความสะอาด,ความบริสุทธิ์,มิหยุดเสื่อม
ผู้นำใด,ใฝ่สำราญ,ด้านกามา,ยิ่งนพา,ประชาชน,ปล้นอำนาจ
คนคบกัน,นั่นเป็นเพราะ,เหมือนนิสัย,คนเช่นใด,คบนิสัย,ไม่ต่างกัน
ใช้ปัญญา,เหนือศรัทธา,เรื่องบาปบุญ,บ้างหลอกขุน,ทุ่มทำบุญ,โกยทรัพย์มา
พวกดารา,โฆษณา,พาหลอกล่อ,พวกเหยื่อส่อ,หลงสิ่งล่อ,หลงตามเงา
พวกไม้ใหญ่,ในพนา,มีค่าสุด,พวกมนุษย์,อยู่รอดได้,ป่าไม้ช่วย
ไร้อิสรา,ถ้ามัวหวั่น,คำวิจารณ์,หรือจะค้าน,การเป็นเจ้าของ,ชีวิตเรา
ทุกสงคราม,ตามเข้าฆ่า,มาหลายคน,โลกยิ่งล้น,ถ้ายุคน,ให้แต่งงาน
ทุกกายา,สอนสัจจา,ให้ปลงได้,ทุกร่างกาย,เสื่อมพังไป,ในโลกจริง
พวกต่ำต้อง,คอยยกยอ,คนร่ำไป,ถ่อมตนไย,มีแต่ใคร,ชอบยกย่อง
ตามธรรมชาติ,ถ้าขาดธรรม,นำสอนใจ,กลับเป็นภัย,ให้ตัวเอง,และผู้อื่น
ทุกร่างกาย,หมายถึงรัง,ของความทุกข์,แม่สนุก,ทุกข์แฝงกาย,หลายโรคา
ประสบการณ์,ช่วยทอสาน,สิ่งจดจำ,เลือกใช้นำ,สิ่งเคยทำ,ไปประยุกต์
เข้มแข็งกล้า,อิสรา,ย่อมมาเยือน,และกล้าเตือน,ให้ฟาฝ่า,สิ่งมาขวาง
ผู้ร่างกฎหมาย,กลับเลิกใช้,ไม่ไยดี,ร่างทั้งที,ควรมีผ่าน,ประชามติ
แตกร้าวกัน,นั้นไม่มี,ประโยชน์ใด,ดีน้ำใจ,ให้แก่กัน,สร้างสรรค์กว่า
พวกมั่งมี,เสพโลกีย์,บำเรอตน,โลกอับจน,ไม่สนใจ,ไม่เยียวยา
ยุติธรรม,ในเมืองไทย,ใครครอบงำ,ชาติบอบช้ำ,มาเท่าใด,ไหนบอกมา
ดูทุเรียน,ดูขนุน,ขุนควานหวาด,น่าประหลาด,เนื้อข้างใน,ไยโอชา
อยู่ร่วมปราชญ์,ย่อมฉลาด,ปราศความทุกข์,อยู่ร่วมสุข,เหมือนวงศา,คณาญาติ
เสียเวลา,ถ้าผ่านไป,ไร้ประโยชน์,กลับเป็นโทษ,ข้ามสิ่งดี,ที่ควรทำ
พวกสุขา,ทั้วโลกา,ส่อผลร้าย,ความมักง่าย,แพร่กระจาย,เชื่อของเสีย
การสร้างหนัง,ยังคงเบียด,ธรรมชาติ,ความสะอาด,ความบริสุทธิ์,ดุจของเล่น
พวกนักบวช,พวกราชา,น่าฉงน,มากกว่าคน,ทั่วทั่วไป,ในความโลภ
ทนายความ,เก่งไปตาม,เลห์ชิวหา,เหยื่อพลาดท่า,ให้วาจา,มารมากมี
ใครเล่ามา,หลบหูตา,พากันเชื่อ,กลับยิ่งเหลือ,ภูมิปัญญา,อันพร่ามัว
ความเพียรเป็น,เช่นพาหะ,ความก้าวหน้า,สมปรารถนา,พาสำเร็จ,ลุล่วงดี
ก่อนย้ายบ้าน,ดูเพื่อนบ้าน,หลายด้านก่อน,อุทาหรณ์,สอนเตือนใจ,ให้ระวัง
มิต้องหา,พวกอาจารย์,วัดวาใด,อยู่ที่ใจ,ใฝ่ดับทุกข์,เองหรือเปล่า
ดับตัณหา,ฆ่ากิเลส,ฝึกทุกคราว,เที่ยวไหว้เจ้า,พระใดใด,ไร้ผลเอย
ภัยมากมาย,มีภายใน,ตัวเราเอง,ล้วนคว้างเคว้ง,พ่ายแพ้ใจ,ภัยของตน
มองโลกไว้,ในแง่ดี,ผลดีคืน,จิตสดชื่น,ดาษดื่นเห็น,แต่ดอกไม้
อยู่ต่อไป,แม้ว่าไร้,พี่น้องได้,แต่อย่าหมาย,ว่าอยู่ได้,แม้ไร้เพื่อน
